country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Tanzania,2017,uniqueid_1786,Urban,No,2,28,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2119,Rural,No,4,62,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_1577,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2189,Rural,Yes,4,72,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1156,Rural,No,7,30,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_300,Rural,Yes,3,35,Male,Head of Household,Married/Living together,No formal education,Other Income
Rwanda,2016,uniqueid_8557,Rural,Yes,5,30,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1049,Rural,Yes,5,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Tanzania,2017,uniqueid_5567,Urban,Yes,3,20,Male,Child,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_1402,Urban,Yes,3,48,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4464,Urban,Yes,1,50,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_3222,Rural,Yes,2,23,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Uganda,2018,uniqueid_1102,Rural,Yes,9,50,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_8309,Rural,Yes,6,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_6437,Urban,Yes,4,22,Female,Child,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,uniqueid_2546,Rural,Yes,2,19,Female,Other relative,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,2018,uniqueid_3768,Urban,Yes,6,66,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_5739,Urban,Yes,3,47,Female,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_834,Rural,Yes,2,75,Male,Head of Household,Widowed,Primary education,Dont Know/Refuse to answer
Kenya,2018,uniqueid_4988,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7327,Urban,Yes,3,30,Male,Child,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_2027,Rural,Yes,4,20,Female,Parent,Single/Never Married,Secondary education,No Income
Tanzania,2017,uniqueid_911,Urban,Yes,2,66,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1474,Urban,No,2,35,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2279,Rural,Yes,4,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3708,Urban,Yes,4,32,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Tanzania,2017,uniqueid_5913,Urban,No,2,17,Female,Spouse,Single/Never Married,Primary education,No Income
Rwanda,2016,uniqueid_1080,Rural,Yes,6,31,Female,Other relative,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_5263,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_57,Urban,No,2,40,Female,Spouse,Single/Never Married,No formal education,Informally employed
Kenya,2018,uniqueid_1632,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_1892,Rural,No,3,60,Female,Other relative,Widowed,Primary education,Other Income
Rwanda,2016,uniqueid_3664,Rural,Yes,7,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_3517,Rural,Yes,6,17,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6829,Urban,Yes,4,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_4543,Urban,Yes,2,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4627,Rural,Yes,1,63,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_1935,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,uniqueid_1925,Urban,No,2,29,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_5281,Rural,No,2,33,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_7485,Rural,No,3,40,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_7535,Urban,Yes,3,26,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3225,Rural,Yes,1,38,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_2803,Rural,Yes,4,20,Female,Other relative,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_5447,Rural,Yes,5,29,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_630,Rural,Yes,6,19,Female,Child,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_7124,Rural,Yes,5,55,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_6402,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_4770,Rural,No,6,16,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_3517,Urban,Yes,2,21,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_1320,Urban,Yes,2,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_2530,Rural,No,3,30,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_3640,Urban,Yes,1,39,Male,Head of Household,Single/Never Married,Tertiary education,Other Income
Kenya,2018,uniqueid_4144,Urban,Yes,2,22,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_1497,Urban,Yes,4,63,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_4858,Rural,No,9,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_1588,Rural,No,2,61,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_3557,Rural,No,7,26,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_5153,Rural,Yes,1,56,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1272,Urban,Yes,8,25,Female,Other relative,Married/Living together,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_1291,Urban,Yes,2,26,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1093,Urban,Yes,3,24,Female,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,uniqueid_3507,Urban,Yes,6,45,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Uganda,2018,uniqueid_1863,Rural,Yes,1,29,Male,Head of Household,Single/Never Married,No formal education,Self employed
Uganda,2018,uniqueid_680,Rural,Yes,9,39,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_3441,Rural,No,2,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1846,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_1957,Urban,No,8,60,Female,Spouse,Single/Never Married,Primary education,No Income
Uganda,2018,uniqueid_371,Rural,Yes,5,44,Female,Head of Household,Widowed,Primary education,Other Income
Tanzania,2017,uniqueid_1764,Rural,No,3,63,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1879,Rural,Yes,2,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_4646,Rural,Yes,3,21,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_3274,Rural,Yes,3,39,Female,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Uganda,2018,uniqueid_2070,Rural,No,10,18,Female,Parent,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_242,Rural,Yes,7,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_5020,Rural,No,2,28,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_3932,Rural,No,3,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_1252,Rural,No,5,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1380,Urban,Yes,2,63,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_485,Rural,Yes,2,27,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Rwanda,2016,uniqueid_7202,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_1553,Rural,Yes,8,19,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_4650,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_8731,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4815,Urban,No,1,56,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_255,Rural,Yes,4,39,Female,Parent,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_3778,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_61,Urban,Yes,1,65,Female,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_846,Rural,Yes,7,56,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_1704,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_1039,Urban,Yes,8,30,Female,Spouse,Married/Living together,Secondary education,Other Income
Tanzania,2017,uniqueid_4567,Urban,Yes,4,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4653,Rural,Yes,7,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4042,Urban,Yes,5,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2814,Urban,No,3,17,Female,Parent,Divorced/Seperated,Primary education,No Income
Rwanda,2016,uniqueid_5342,Rural,No,5,23,Male,Child,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_4640,Rural,Yes,3,35,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_5387,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_4648,Rural,Yes,5,53,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_69,Urban,No,5,28,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1655,Rural,Yes,8,30,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_3983,Rural,No,7,47,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5313,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_1385,Urban,Yes,3,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_5659,Rural,Yes,6,41,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_8304,Rural,No,5,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5410,Rural,Yes,1,56,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3434,Rural,Yes,6,60,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3898,Rural,No,2,40,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_1685,Rural,Yes,5,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4232,Rural,Yes,5,52,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_354,Urban,Yes,1,29,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_5209,Rural,Yes,4,23,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7865,Rural,No,4,56,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_6679,Urban,Yes,3,34,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_756,Rural,Yes,5,32,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_2762,Rural,Yes,1,50,Female,Head of Household,Widowed,Tertiary education,Self employed
Rwanda,2016,uniqueid_6284,Rural,Yes,3,30,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_7018,Rural,Yes,7,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_2164,Urban,Yes,3,45,Female,Head of Household,Widowed,No formal education,Formally employed Private
Tanzania,2017,uniqueid_3763,Urban,Yes,2,49,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1762,Urban,No,3,61,Female,Child,Widowed,Primary education,Remittance Dependent
Kenya,2018,uniqueid_4637,Urban,Yes,1,48,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_1617,Rural,Yes,4,57,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5345,Rural,Yes,4,40,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Tanzania,2017,uniqueid_2521,Rural,Yes,1,67,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,uniqueid_887,Rural,Yes,4,25,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_1467,Rural,No,5,27,Female,Child,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_5562,Rural,Yes,2,25,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Rwanda,2016,uniqueid_7544,Rural,Yes,7,44,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1647,Rural,No,2,84,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2239,Urban,Yes,4,32,Female,Other relative,Single/Never Married,Tertiary education,Self employed
Rwanda,2016,uniqueid_6612,Rural,Yes,3,16,Male,Child,Single/Never Married,Primary education,Farming and Fishing
